fid,aspect,elv,flowAcc,lithology,planCurv,profCurv,riverProx,roadProx,slope,soil,SPI,TPI,TRI,TWI,xcoord,ycoord
1,160.529281616211,1548.07690429688,6.28283596038818,686,0.00245594885200262,0.00245594885200262,7990.81982421875,0,3.82663249969482,10,4.99202489852905,0.533493459224701,1.35937035083771,2.28901791572571,3558824.67889005,552034.135085479
2,242.52262878418,702.212951660156,12.838716506958,490,-0.00871529243886471,-0.00871529243886471,21151.72265625,62.2414665222168,5.48995399475098,8,-5.93339729309082,0.778501749038696,2.0212562084198,9.41001033782959,3531293.54062298,474174.835391346
3,43.0085830688477,613.416625976562,14.678412437439,434,0.00118136534001678,0.00118136534001678,2167.07177734375,32.2024841308594,24.5622081756592,2,-3.81575202941895,-13.7451505661011,9.22654914855957,9.81670093536377,3507413.25536262,621073.281670036
4,14.5102510452271,1664.25695800781,75.6116714477539,686,-0.00430200900882483,-0.00430200900882483,150,1,4.56225347518921,9,682.245971679688,-1.01779592037201,1.53882706165314,2.18108415603638,3534349.80344479,557257.748548573
5,178.850204467773,688.011840820312,1.44180488586426,785,0.0147889042273164,0.0147889042273164,26339.384765625,13.4536237716675,2.90683174133301,9,-0.956914246082306,0.447168290615082,1.13565182685852,8.86719226837158,3514655.7553924,516412.032846286
6,133.559799194336,1291.37292480469,78.3147048950195,785,-0.0422314666211605,-0.0422314666211605,22056.529296875,6.70820379257202,5.55705833435059,8,150.011215209961,-5.68995809555054,2.21697616577148,3.26976442337036,3512688.53600105,536493.847175742
7,57.3048362731934,1282.98327636719,8.38780975341797,547,0.00969117041677237,0.00969117041677237,10394.4697265625,0,17.25901222229,10,-10.9129457473755,5.43263053894043,6.33967399597168,9.17058181762695,3511763.10636258,629113.840201906
8,260.290130615234,293.7822265625,4.24567461013794,591,-0.00810310151427984,-0.00810310151427984,1717.3525390625,40.2616424560547,4.59462928771973,9,10.5768690109253,-2.78632664680481,1.60910034179688,1.07405483722687,3527689.98683721,649138.464403046
9,160.413833618164,893.861206054688,11.1191673278809,547,0.00675644632428885,0.00675644632428885,5424.36181640625,113.357841491699,19.3537693023682,9,5.79223966598511,-8.07761001586914,6.7716498374939,3.60116195678711,3643237.82016785,551526.228627569
10,126.76146697998,147.435180664062,3.52451157569885,686,-0.0129769621416926,-0.0129769621416926,2430.18505859375,48.0832595825195,3.46543955802917,12,0.511944949626923,0.198918521404266,1.19182682037354,3.9053635597229,3592945.36179174,645744.535647209
