fid,aspect,elv,flowAcc,planCurv,profCurv,riverProx,roadProx,slope,SPI,TPI,TRI,TWI,xcoord,ycoord,lithology_0,lithology_6,lithology_10,lithology_17,lithology_53,lithology_57,lithology_79,lithology_82,lithology_110,lithology_151,lithology_165,lithology_197,lithology_232,lithology_237,lithology_243,lithology_278,lithology_307,lithology_315,lithology_316,lithology_360,lithology_375,lithology_404,lithology_424,lithology_427,lithology_429,lithology_434,lithology_443,lithology_481,lithology_488,lithology_490,lithology_547,lithology_573,lithology_591,lithology_679,lithology_686,lithology_785,lithology_792,lithology_803,lithology_808,lithology_816,lithology_835,soil_0,soil_1,soil_2,soil_3,soil_4,soil_5,soil_6,soil_7,soil_8,soil_9,soil_10,soil_11,soil_12,soil_13,soil_15,soil_16,soil_17
1,0.7011067855150546,0.017893228566909062,0.0028142432798966954,0.4935343340832626,0.4935343340832626,0.13756495451258113,0.003954577630580678,0.18803636125215548,0.26034033650338295,0.5631258221712806,0.0037862857005257367,0.23117306897176487,3358890.0828,495994.560900003,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2,0.2155756853083651,0.07814742367702601,0.0029552750241903804,0.49472048967114846,0.49472048967114846,0.0,0.2032668349687338,0.12941123503257004,0.2590161706252107,0.5647349528765756,0.002555899548197623,0.5483066030798519,3353504.5794,496462.816899999,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
3,0.48657199150178526,0.09241038315366382,0.0036041664110905585,0.4869474801643409,0.4869474801643409,0.0,0.22936550257367933,0.3678314869199894,0.2589810477366572,0.5615088845350101,0.008611977595857523,0.7465690455769567,3353539.4901,496804.188999997,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
4,0.3554335496319753,0.09239154265472554,0.02081954781560279,0.4847122580601102,0.4847122580601102,0.24254019812811592,0.22387939805410104,0.21179867795096008,0.2583726128954936,0.5629343325777661,0.004230846734911699,0.8263021841179412,3354232.2708,497161.603200004,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
5,0.42061736674065014,0.0594919181533482,0.004024620041167253,0.4943432667155605,0.4943432667155605,0.22813435617029348,0.18953115542324006,0.19547336080327385,0.259699412320433,0.5645219007322626,0.004030228672254534,0.4447644279604078,3355002.7828,497206.2561,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
6,0.5143065698381236,0.04141181109751488,0.0031877281901462836,0.4877284066755376,0.4877284066755376,0.20769725419122725,0.12265567302613696,0.3177837826906623,0.25904196609170305,0.5639762514633812,0.006607530600499605,0.423453899121586,3356182.8647,497290.4001,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
7,0.45395102505887847,0.05393761817572343,0.0028840142866584143,0.4921430885323003,0.4921430885323003,0.2152194826943652,0.1485995330610257,0.2616811588986699,0.2591113003338028,0.5632276359652924,0.005538514382060146,0.3573395491145276,3355821.2173,497329.199699997,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
8,0.47099704800676806,0.10824004947090887,0.0012923935583398838,0.4946638395636982,0.4946638395636982,0.2404791562943282,0.2547251608975929,0.2260550684369544,0.2590497292824687,0.5660251542786883,0.004882996372387792,0.35887579607383535,3354670.5856,497597.453200002,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
9,0.36401048033897837,0.0714214116584473,0.0013806275662824215,0.4875891728020881,0.4875891728020881,0.24631762323301096,0.29343924250915054,0.3077181607345642,0.2590345086085826,0.5647767038157621,0.006561608907208532,0.3853961842380524,3355836.2228,499197.394099999,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
10,0.6126068847060957,0.07147759507126811,0.002587993596919536,0.4914316628052054,0.4914316628052054,0.25157337741316366,0.32362364122490256,0.18244320032984745,0.25890344075574145,0.5651709301223968,0.0036108498521150827,0.7305416784137087,3355582.9261,499238.578499998,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
