fid,aspect,elv,flowAcc,planCurv,profCurv,riverProx,roadProx,slope,SPI,TPI,TRI,TWI,xcoord,ycoord,lithology_0,lithology_6,lithology_10,lithology_11,lithology_17,lithology_53,lithology_57,lithology_79,lithology_82,lithology_110,lithology_151,lithology_165,lithology_197,lithology_229,lithology_232,lithology_237,lithology_243,lithology_278,lithology_298,lithology_307,lithology_315,lithology_316,lithology_360,lithology_404,lithology_424,lithology_427,lithology_429,lithology_434,lithology_443,lithology_488,lithology_490,lithology_547,lithology_570,lithology_573,lithology_591,lithology_629,lithology_679,lithology_685,lithology_686,lithology_785,lithology_792,lithology_803,lithology_808,lithology_816,lithology_835,soil_-99999,soil_0,soil_1,soil_2,soil_3,soil_4,soil_5,soil_6,soil_7,soil_8,soil_9,soil_10,soil_11,soil_12,soil_13,soil_14,soil_15,soil_16,soil_17
1,0.4459547434512713,0.519700502659186,0.0028164834688979502,0.49277533598840434,0.49277533598840434,0.19699657604492984,0.0,0.04240861874698084,0.2590452412040318,0.564587308298586,0.0008533406981078899,0.4226148296136171,3558824.67889005,552034.135085479,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2,0.6737345088178293,0.2357379164682557,0.0063116760741453014,0.48318735086422765,0.48318735086422765,0.5214504934905853,0.2461387112032947,0.061113608018186355,0.25897687536311764,0.5646677138859153,0.0012770045326870206,0.7667600392331622,3531293.54062298,474174.835391346,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
3,0.11947902236630822,0.2059283540595895,0.007292488882805337,0.49168139419319556,0.49168139419319556,0.053424520834075645,0.12734722339302587,0.2755918738807626,0.2589901265305938,0.5599014147723153,0.005889011272696503,0.786414690248413,3507413.25536262,621073.281670036,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4,0.0403098750404819,0.5587029786634159,0.039778357835665766,0.4869751569615314,0.4869751569615314,0.003697929255916928,0.003954577630580678,0.05068109192501292,0.26328315849199113,0.5640782139582319,0.0009682084164222881,0.4173985782610654,3534349.80344479,557257.748548573,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
5,0.4968507691968559,0.2309705018641745,0.0002355432133129496,0.5033603900210581,0.5033603900210581,0.6493412100510487,0.05320339961768474,0.032064939928459074,0.2590080157110453,0.5645589785392598,0.0007101416152907266,0.7405265836660642,3514655.7553924,516412.032846286,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
6,0.3710327822154697,0.43352313846855,0.04121944915047964,0.4544212924547759,0.4544212924547759,0.5437565664726859,0.026528112659481774,0.06186823420199555,0.2599526989407163,0.5625449272923885,0.0014022821265280293,0.47001260684047247,3512688.53600105,536493.847175742,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
7,0.1591944055404554,0.4307066734092235,0.003938726130791277,0.49898513800833266,0.49898513800833266,0.256253424677322,0.0,0.19346331222908372,0.2589457158334007,0.5661950824461476,0.004041163062788332,0.7551888742339876,3511763.10636258,629113.840201906,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
8,0.7230931158025721,0.0986247972520533,0.0017303942339719374,0.48371277837270643,0.48371277837270643,0.04233765464614958,0.15921779062715122,0.05104517621528988,0.2590801883719693,0.5634978264461331,0.00101318935534567,0.3638977718574375,3527689.98683721,649138.464403046,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
9,0.44563402574897637,0.30007560787502136,0.00539491812952197,0.4964663408389171,0.4964663408389171,0.13372604170378238,0.4482823842139831,0.2170200382289011,0.2590502485487851,0.5617613597031578,0.004317664727491378,0.48602847469213517,3643237.82016785,551526.228627569,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
10,0.3521468290234666,0.04949504594254112,0.0013459144242432372,0.4795296708758567,0.4795296708758567,0.05991101616977347,0.19014898275043565,0.03834680019971134,0.2590172070990153,0.5644775091795378,0.0007460984390956219,0.5007300104056094,3592945.36179174,645744.535647209,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
